일련번호,상호명,지번주소
20889,GS25,광주광역시 광산구 운남동 794-3
20890,GS25,광주광역시 북구 오치동 1007
20988,GS25,광주광역시 광산구 신창동 1136-1
20989,알리바이진월점,광주광역시 남구 진월동 422
20990,세븐일레븐,광주광역시 광산구 신창동 468-1
20991,GS25,광주광역시 서구 치평동 1221-2
20992,홈웨이,광주광역시 북구 신안동 127-1
20993,세븐일레븐,광주광역시 서구 광천동 49-1
20994,SEAMANSCUBA,광주광역시 서구 풍암동 1070-1
20995,GS25,광주광역시 북구 용봉동 9-16
20996,GS25,광주광역시 동구 지산동 461-7
20997,아쿰,광주광역시 북구 양산동 254-91
20998,CU,광주광역시 북구 두암동 871-15
20999,편의점,광주광역시 서구 풍암동 1088-3
21000,세븐일레븐,광주광역시 동구 지산동 714-43
21001,세븐일레븐,광주광역시 남구 진월동 500-14
21002,미니스톱,광주광역시 남구 백운동 691
21003,GS25양산호수점,광주광역시 북구 양산동 284-26
21004,CU,광주광역시 북구 운암동 1051-10
21005,GS25,광주광역시 서구 화정동 1701
21006,위드미,광주광역시 광산구 신가동 978-1
21007,CU,광주광역시 광산구 선암동 768
21008,GS25,광주광역시 북구 용봉동 914
21009,세븐일레븐,광주광역시 서구 치평동 1171-4
21010,GS25,광주광역시 서구 쌍촌동 968-1
21011,CU,광주광역시 동구 산수동 541-1
21012,FOCUS,광주광역시 북구 문흥동 787-8
21013,레몬편의점,광주광역시 남구 주월동 974-304
21014,세븐일레븐,광주광역시 북구 삼각동 772-13
21015,황금마트편의점,광주광역시 광산구 신촌동 1087-36
21016,뉴스코마트,광주광역시 북구 두암동 100
21017,GS25,광주광역시 남구 진월동 267
21018,GS25,광주광역시 북구 두암동 875-21
21019,미니스톱,광주광역시 서구 쌍촌동 1331-1
21020,미니스톱,광주광역시 광산구 장덕동 1049
21021,CU,광주광역시 광산구 도천동 295-19
21022,올더웨이중흥점,광주광역시 북구 중흥동 278-27
21023,CU,광주광역시 남구 주월동 968-42
21024,GS25,광주광역시 동구 장동 84-6
21025,GS25신안중앙,광주광역시 북구 신안동 134-9
21026,미니스톱,광주광역시 광산구 소촌동 12-9
21027,Ciga25,광주광역시 북구 두암동 566-2
21028,해피24시편의점,광주광역시 북구 양산동 296
21029,GS편의점광주,광주광역시 동구 금동 48-1
21030,미니스톱우산중앙점,광주광역시 광산구 우산동 1131
21031,세븐일레븐,광주광역시 서구 농성동 642-25
21032,GS25,광주광역시 북구 오치동 1028-15
21033,GS25,광주광역시 광산구 송촌동 276-16
21034,세븐일레븐,광주광역시 광산구 신가동 1225
21035,손찐빵편의점만두,광주광역시 광산구 하산동 139-32
21036,미니스톱조선대병원신관점,광주광역시 동구 학동 30-1
21037,미니스톱,광주광역시 광산구 오선동 273-2
21038,세븐일레븐,광주광역시 광산구 흑석동 524
21039,세븐일레븐,광주광역시 북구 신안동 818
21040,이마트,광주광역시 동구 계림동 215-2
21041,세븐일레븐,광주광역시 북구 용봉동 1488
21042,CU,광주광역시 서구 풍암동 1057
21043,CU,광주광역시 남구 행암동 530
21044,GS25,광주광역시 서구 화정동 858-3
21045,지에스광주산정초점,광주광역시 광산구 산정동 1110
21046,씨스페이스,광주광역시 광산구 도산동 1146-1
21047,GS25,광주광역시 광산구 월계동 755-4
21048,CU,광주광역시 남구 봉선동 490-1
21049,신구멍가게24,광주광역시 서구 동천동 516
21050,광주무등,광주광역시 북구 임동 153-6
21051,세븐일레븐,광주광역시 동구 불로동 157-1
21052,CU,광주광역시 북구 본촌동 320
21053,이마트,광주광역시 남구 지석동 444
21054,CU,광주광역시 북구 연제동 217
21055,세븐일레븐,광주광역시 동구 금남로4가 79-1
21056,세븐일레븐,광주광역시 서구 농성동 671-3
21057,세븐일레븐,광주광역시 광산구 삼거동 840
21058,세븐일레븐,광주광역시 북구 중흥동 342-4
21059,GS25,광주광역시 광산구 수완동 905
21060,CU,광주광역시 남구 봉선동 34-3
